Employee ID,Date,Check In,Check Out
EMP0001,2024-04-13,08:28:00,14:28:00
EMP0001,2024-04-10,07:30:00,14:30:00
EMP0001,2024-04-09,08:11:00,15:11:00
EMP0001,2024-02-10,07:39:00,16:39:00
EMP0001,2024-02-27,08:16:00,17:16:00
EMP0001,2024-04-14,07:34:00,13:34:00
EMP0001,2024-03-14,07:57:00,15:57:00
EMP0001,2024-01-19,07:35:00,15:35:00
EMP0001,2024-01-17,07:41:00,16:41:00
EMP0001,2024-02-15,07:50:00,16:50:00
EMP0002,2024-02-24,08:00:00,17:00:00
EMP0002,2024-03-18,08:20:00,16:20:00
EMP0002,2024-01-18,08:21:00,15:21:00
EMP0002,2024-02-19,07:56:00,17:56:00
EMP0002,2024-03-04,08:04:00,18:04:00
EMP0002,2024-03-04,08:04:00,18:04:00
EMP0002,2024-04-15,07:44:00,16:44:00
EMP0002,2024-01-11,08:07:00,17:07:00
EMP0002,2024-03-08,08:06:00,15:06:00
EMP0002,2024-03-30,07:35:00,14:35:00
EMP0003,2024-02-16,07:30:00,14:30:00
EMP0003,2024-04-18,07:31:00,15:31:00
EMP0003,2024-03-12,08:00:00,15:00:00
EMP0003,2024-04-27,07:37:00,13:37:00
EMP0003,2024-04-26,07:52:00,15:52:00
EMP0003,2024-04-18,08:24:00,15:24:00
EMP0003,2024-02-07,07:59:00,14:59:00
EMP0003,2024-04-16,08:24:00,18:24:00
EMP0003,2024-04-29,08:28:00,17:28:00
EMP0003,2024-02-01,07:43:00,14:43:00
EMP0004,2024-01-08,08:17:00,15:17:00
EMP0004,2024-01-16,08:14:00,15:14:00
EMP0004,2024-02-18,08:16:00,14:16:00
EMP0004,2024-03-30,07:57:00,15:57:00
EMP0004,2024-01-07,08:14:00,14:14:00
EMP0004,2024-03-25,08:07:00,14:07:00
EMP0004,2024-03-02,08:23:00,18:23:00
EMP0004,2024-04-21,07:40:00,13:40:00
EMP0004,2024-01-19,07:53:00,14:53:00
EMP0004,2024-01-11,07:45:00,13:45:00
EMP0005,2024-01-02,08:06:00,17:06:00
EMP0005,2024-01-20,08:18:00,15:18:00
EMP0005,2024-03-01,08:17:00,15:17:00
EMP0005,2024-04-05,08:03:00,16:03:00
EMP0005,2024-03-01,07:56:00,15:56:00
EMP0005,2024-02-26,08:20:00,14:20:00
EMP0005,2024-02-06,07:37:00,14:37:00
EMP0005,2024-01-08,08:26:00,14:26:00
EMP0005,2024-03-18,08:18:00,15:18:00
EMP0005,2024-03-05,07:40:00,13:40:00
EMP0006,2024-02-20,08:23:00,17:23:00
EMP0006,2024-03-28,08:30:00,17:30:00
EMP0006,2024-03-11,08:15:00,16:15:00
EMP0006,2024-04-27,08:06:00,18:06:00
EMP0006,2024-02-09,08:15:00,15:15:00
EMP0006,2024-02-24,08:29:00,15:29:00
EMP0006,2024-02-04,07:35:00,17:35:00
EMP0006,2024-02-18,08:30:00,15:30:00
EMP0006,2024-04-05,07:43:00,16:43:00
EMP0006,2024-03-20,07:33:00,14:33:00
EMP0007,2024-02-20,07:41:00,17:41:00
EMP0007,2024-03-18,08:23:00,14:23:00
EMP0007,2024-04-14,08:14:00,17:14:00
EMP0007,2024-03-02,07:50:00,16:50:00
EMP0007,2024-04-15,07:54:00,14:54:00
EMP0007,2024-01-07,08:21:00,16:21:00
EMP0007,2024-03-23,07:57:00,14:57:00
EMP0007,2024-02-04,07:36:00,13:36:00
EMP0007,2024-01-10,07:53:00,17:53:00
EMP0007,2024-04-09,08:24:00,16:24:00
EMP0008,2024-01-04,07:45:00,15:45:00
EMP0008,2024-01-21,08:04:00,14:04:00
EMP0008,2024-01-09,07:43:00,17:43:00
EMP0008,2024-01-02,08:18:00,16:18:00
EMP0008,2024-01-25,08:05:00,15:05:00
EMP0008,2024-03-22,08:29:00,14:29:00
EMP0008,2024-01-31,07:47:00,13:47:00
EMP0008,2024-03-13,08:06:00,14:06:00
EMP0008,2024-03-13,08:20:00,17:20:00
EMP0008,2024-01-06,07:33:00,15:33:00
EMP0009,2024-01-12,08:30:00,16:30:00
EMP0009,2024-01-02,07:52:00,15:52:00
EMP0009,2024-02-20,08:02:00,15:02:00
EMP0009,2024-02-10,08:18:00,17:18:00
EMP0009,2024-04-02,07:52:00,14:52:00
EMP0009,2024-03-30,08:13:00,14:13:00
EMP0009,2024-02-12,07:56:00,17:56:00
EMP0009,2024-01-13,08:02:00,15:02:00
EMP0009,2024-01-04,08:07:00,17:07:00
EMP0009,2024-03-02,08:07:00,14:07:00
EMP0010,2024-02-07,07:40:00,14:40:00
EMP0010,2024-03-28,07:59:00,13:59:00
EMP0010,2024-04-23,08:10:00,14:10:00
EMP0010,2024-04-01,07:44:00,14:44:00
EMP0010,2024-04-13,08:13:00,15:13:00
EMP0010,2024-04-08,08:15:00,15:15:00
EMP0010,2024-03-05,08:03:00,18:03:00
EMP0010,2024-03-24,08:03:00,16:03:00
EMP0010,2024-02-27,08:20:00,15:20:00
EMP0010,2024-02-13,07:48:00,15:48:00
EMP0011,2024-03-20,08:24:00,17:24:00
EMP0011,2024-01-06,08:27:00,17:27:00
